
Hanson    	1	M	lighter green       	Healthy
Perice    	0	M	candy pink          	Healthy
Annalee   	0	F	red purple          	Healthy
Penelope  	0	F	candy pink          	Healthy
Babara    	0	F	red purple          	Healthy
Ragnar    	0	M	candy pink          	Healthy
Jerrome   	0	M	candy pink          	Healthy
Peyton    	0	M	red purple          	Healthy
Mitzi     	0	F	red purple          	Radioactive
Pall      	0	M	red purple          	Healthy
Taddeo    	0	M	red purple          	Healthy
Giulio    	0	M	red purple          	Healthy
Zacharia  	0	M	red purple          	Healthy
Silvain   	0	M	candy pink          	Healthy
Nance     	0	F	red purple          	Healthy
Nora      	0	F	candy pink          	Healthy
Scarlet   	0	F	red purple          	Healthy
Den       	0	M	red purple          	Healthy
Diandra   	0	F	candy pink          	Healthy
Paolo     	0	M	candy pink          	Healthy
Elmira    	0	F	candy pink          	Radioactive
Lissy     	0	F	candy pink          	Healthy
Tobey     	0	F	red purple          	Healthy
Giovanna  	0	F	candy pink          	Healthy
Sibyl     	0	M	candy pink          	Healthy
Whitney   	0	M	red purple          	Healthy
Lonni     	0	F	candy pink          	Healthy
Blakeley  	0	F	candy pink          	Healthy
Tyson     	0	M	candy pink          	Healthy
Walsh     	0	M	candy pink          	Healthy
Layne     	0	F	candy pink          	Healthy
Karil     	0	F	red purple          	Healthy
Cecelia   	0	F	candy pink          	Healthy
Viviene   	0	F	candy pink          	Healthy
Adan      	0	F	red purple          	Healthy
Wain      	0	M	red purple          	Healthy
Brande    	0	F	candy pink          	Healthy
Dynah     	0	F	candy pink          	Healthy
Cindy     	0	F	candy pink          	Healthy
Midge     	0	F	red purple          	Healthy
Cullin    	0	M	candy pink          	Healthy
Rachael   	0	F	candy pink          	Healthy
Allistir  	0	M	candy pink          	Healthy
------------------------------------------------------------------------
Deloria   	10	F	red purple          	Healthy
Orelie    	10	F	red purple          	Healthy
Kaitlin   	10	F	candy pink          	Healthy
Malia     	10	F	red purple          	Healthy
Pietro    	10	M	candy pink          	Healthy
Kincaid   	10	M	candy pink          	Healthy
Guthrie   	10	M	red purple          	Healthy
Kerk      	10	M	red purple          	Healthy
Carney    	10	M	candy pink          	Healthy
Immanuel  	10	M	candy pink          	Healthy
Willem    	10	M	candy pink          	Radioactive
Holli     	10	F	red purple          	Healthy
Orlando   	10	M	red purple          	Healthy
Hinze     	10	M	candy pink          	Healthy
Huntington	10	M	red purple          	Healthy
Stephana  	10	F	red purple          	Healthy
Margo     	10	F	candy pink          	Healthy
Calhoun   	10	M	candy pink          	Healthy
Alf       	10	M	red purple          	Healthy
Adelheid  	10	F	candy pink          	Healthy
Kaitlyn   	10	F	red purple          	Healthy
Stanton   	10	M	red purple          	Healthy
Domenico  	10	M	red purple          	Healthy
Gerrilee  	10	F	candy pink          	Healthy
Monika    	10	F	candy pink          	Healthy
Nettie    	10	F	candy pink          	Healthy
Annis     	10	F	red purple          	Healthy
Elmira    	10	F	red purple          	Healthy
Jarid     	10	M	candy pink          	Healthy
Kimball   	10	M	red purple          	Healthy
Maggi     	10	F	red purple          	Healthy
Siana     	10	F	candy pink          	Healthy
Abagael   	10	F	red purple          	Healthy
Crysta    	10	F	red purple          	Healthy
Thornton  	10	M	red purple          	Healthy
Etienne   	10	M	red purple          	Healthy
Jeramie   	10	M	candy pink          	Healthy
Emmery    	10	M	red purple          	Healthy
Jaine     	9	F	red purple          	Healthy
Kipp      	9	F	candy pink          	Healthy
Mabelle   	9	F	red purple          	Healthy
Chery     	9	F	candy pink          	Healthy
Dev       	9	M	candy pink          	Healthy
Isaac     	9	M	red purple          	Healthy
Auberon   	9	M	red purple          	Healthy
Joleen    	9	F	candy pink          	Healthy
Jehu      	9	M	candy pink          	Healthy
Emery     	9	M	candy pink          	Healthy
Phaidra   	9	F	red purple          	Healthy
Gertrude  	9	F	red purple          	Healthy
Gaspard   	9	M	candy pink          	Healthy
Berny     	9	M	red purple          	Healthy
Harrie    	9	F	red purple          	Healthy
Teodoor   	9	M	candy pink          	Healthy
Maynord   	9	M	candy pink          	Healthy
Wainwright	9	M	red purple          	Healthy
Everard   	9	M	candy pink          	Healthy
Otha      	9	F	red purple          	Healthy
Bret      	9	M	red purple          	Healthy
Ritchie   	9	M	candy pink          	Healthy
Shaughn   	9	M	candy pink          	Healthy
Adaline   	9	F	candy pink          	Healthy
Jany      	9	F	red purple          	Healthy
Liz       	9	F	red purple          	Healthy
Anne-Corinne	9	F	candy pink          	Healthy
See       	9	M	red purple          	Healthy
Pieter    	9	M	red purple          	Healthy
Kipp      	9	M	candy pink          	Healthy
Rita      	9	F	red purple          	Healthy
Carrol    	9	M	red purple          	Healthy
Dilan     	9	M	red purple          	Healthy
Sharline  	9	F	red purple          	Healthy
Mace      	9	M	candy pink          	Healthy
Bax       	9	M	red purple          	Radioactive
Trudi     	9	F	red purple          	Healthy
Isidoro   	9	M	candy pink          	Healthy
Carleen   	9	F	red purple          	Radioactive
Corry     	9	F	red purple          	Healthy
Pincus    	9	M	candy pink          	Healthy
Arthur    	9	M	candy pink          	Healthy
Marna     	9	F	red purple          	Healthy
Daveta    	9	F	red purple          	Healthy
Kellina   	9	F	candy pink          	Healthy
Elfrida   	9	F	red purple          	Healthy
Brittne   	9	F	candy pink          	Healthy
Cello     	9	M	red purple          	Healthy
Jess      	9	F	red purple          	Healthy
Shara     	9	F	candy pink          	Healthy
Pen       	9	F	candy pink          	Healthy
Suzie     	8	F	red purple          	Healthy
Sigrid    	8	F	candy pink          	Healthy
Bret      	8	M	candy pink          	Healthy
Leshia    	8	F	red purple          	Healthy
Windy     	8	F	red purple          	Healthy
Lucila    	8	F	candy pink          	Healthy
Cloe      	8	F	red purple          	Healthy
Imogene   	8	F	candy pink          	Healthy
William   	8	M	candy pink          	Healthy
Marja     	8	F	red purple          	Healthy
Leonore   	8	F	candy pink          	Healthy
Gena      	8	F	red purple          	Healthy
Zachery   	8	M	red purple          	Healthy
Desi      	8	M	candy pink          	Healthy
Brooks    	8	M	candy pink          	Healthy
Riley     	8	M	red purple          	Healthy
Nikkie    	8	F	candy pink          	Healthy
Alyce     	8	F	candy pink          	Healthy
Colver    	8	M	candy pink          	Healthy
Benoit    	8	M	candy pink          	Radioactive
Jaymee    	8	F	red purple          	Healthy
Willetta  	8	F	red purple          	Healthy
Duane     	8	M	candy pink          	Healthy
Roby      	8	F	candy pink          	Healthy
Rollins   	8	M	red purple          	Healthy
Muhammad  	8	M	red purple          	Healthy
Bren      	8	F	red purple          	Healthy
Winna     	8	F	candy pink          	Healthy
Leena     	8	F	red purple          	Radioactive
Gabey     	8	F	candy pink          	Healthy
Randie    	8	F	red purple          	Healthy
Kele      	8	M	red purple          	Healthy
Jemie     	8	F	candy pink          	Healthy
Hubie     	8	M	red purple          	Healthy
Dyanne    	8	F	candy pink          	Healthy
Jamal     	8	M	red purple          	Healthy
Martelle  	8	F	candy pink          	Radioactive
Bar       	8	M	red purple          	Healthy
Iver      	8	M	red purple          	Healthy
Wait      	8	M	red purple          	Healthy
Valle     	8	M	candy pink          	Healthy
Nanci     	8	F	candy pink          	Healthy
Alasdair  	8	M	red purple          	Healthy
Tarrance  	8	M	candy pink          	Healthy
Ryon      	8	M	red purple          	Healthy
Ainslie   	8	F	red purple          	Healthy
Annetta   	8	F	candy pink          	Healthy
Nicolina  	8	F	candy pink          	Radioactive
Geri      	8	F	candy pink          	Healthy
Woodrow   	8	M	candy pink          	Healthy
Carny     	8	M	candy pink          	Healthy
Leora     	8	F	red purple          	Healthy
Bertie    	8	M	candy pink          	Healthy
King      	8	M	red purple          	Healthy
Pepito    	8	M	red purple          	Healthy
Lay       	7	M	candy pink          	Healthy
Robinet   	7	M	red purple          	Healthy
Melinde   	7	F	red purple          	Healthy
Angelo    	7	M	candy pink          	Healthy
Corny     	7	M	candy pink          	Healthy
Quinn     	7	F	red purple          	Healthy
Elia      	7	M	red purple          	Healthy
Andonis   	7	M	red purple          	Healthy
Eldredge  	7	M	red purple          	Healthy
Maje      	7	M	candy pink          	Healthy
Jayme     	7	M	candy pink          	Healthy
Elvera    	7	F	candy pink          	Healthy
Kristofor 	7	M	candy pink          	Healthy
Lilla     	7	F	candy pink          	Healthy
Randee    	7	F	candy pink          	Radioactive
Chick     	7	M	red purple          	Healthy
Ladonna   	7	F	red purple          	Healthy
Sarita    	7	F	candy pink          	Healthy
Camilla   	7	F	red purple          	Healthy
Donal     	7	M	red purple          	Healthy
Glenden   	7	M	red purple          	Healthy
Marris    	7	F	red purple          	Radioactive
Audre     	7	F	candy pink          	Healthy
Tiffi     	7	F	red purple          	Healthy
Berget    	7	F	red purple          	Healthy
Maurine   	7	F	candy pink          	Healthy
Cyrille   	7	M	candy pink          	Healthy
Elmer     	7	M	red purple          	Healthy
Bennie    	7	M	candy pink          	Healthy
Carolus   	7	M	candy pink          	Healthy
Wynn      	7	F	red purple          	Healthy
Maegan    	7	F	candy pink          	Healthy
Zelda     	7	F	candy pink          	Healthy
Jaine     	7	F	candy pink          	Healthy
Caesar    	7	M	red purple          	Healthy
Normy     	7	M	red purple          	Healthy
Franny    	7	M	candy pink          	Healthy
Jasper    	7	M	candy pink          	Healthy
Chrisse   	7	M	candy pink          	Healthy
Jeanne    	7	F	red purple          	Healthy
Luella    	7	F	red purple          	Healthy
Derek     	7	M	candy pink          	Healthy
Tabbie    	7	F	candy pink          	Healthy
Licha     	7	F	red purple          	Healthy
Hyacinth  	7	F	red purple          	Healthy
Quincy    	7	M	candy pink          	Healthy
Roxane    	7	F	candy pink          	Healthy
Bryanty   	7	M	red purple          	Healthy
Felike    	7	M	red purple          	Healthy
Wilhelm   	7	M	candy pink          	Healthy
Franklyn  	7	M	candy pink          	Healthy
Roosevelt 	7	M	candy pink          	Healthy
Helga     	6	F	red purple          	Healthy
Fredrick  	6	M	candy pink          	Healthy
Garvin    	6	M	candy pink          	Healthy
Roxane    	6	F	candy pink          	Healthy
Dasi      	6	F	red purple          	Healthy
Angelico  	6	M	candy pink          	Healthy
Parrnell  	6	M	red purple          	Healthy
Minnie    	6	F	candy pink          	Healthy
Max       	6	M	candy pink          	Healthy
Corny     	6	F	candy pink          	Healthy
Derby     	6	M	candy pink          	Healthy
Ed        	6	M	red purple          	Healthy
Inge      	6	F	candy pink          	Healthy
Piper     	6	F	candy pink          	Healthy
Maye      	6	F	red purple          	Healthy
Tamra     	6	F	red purple          	Healthy
Georgianne	6	F	red purple          	Healthy
Hyacintha 	6	F	red purple          	Healthy
Roz       	6	F	red purple          	Healthy
Milly     	6	F	red purple          	Healthy
Leonerd   	6	M	candy pink          	Healthy
Atalanta  	6	F	red purple          	Healthy
Jarrod    	6	M	red purple          	Healthy
Gottfried 	6	M	candy pink          	Healthy
Shelba    	6	F	red purple          	Healthy
Morgen    	6	M	candy pink          	Healthy
Talbot    	6	M	red purple          	Healthy
Lenette   	6	F	candy pink          	Healthy
Cad       	6	M	candy pink          	Healthy
Suellen   	6	F	red purple          	Healthy
August    	6	M	candy pink          	Healthy
Braden    	6	M	candy pink          	Healthy
Noak      	6	M	candy pink          	Healthy
Emmaline  	6	F	candy pink          	Healthy
Valentina 	6	F	red purple          	Healthy
Yard      	6	M	red purple          	Healthy
Web       	6	M	candy pink          	Healthy
Wendi     	6	F	candy pink          	Healthy
Trueman   	6	M	candy pink          	Healthy
Onfroi    	6	M	red purple          	Healthy
Toddy     	6	M	candy pink          	Healthy
Meredith  	6	M	candy pink          	Healthy
Paquito   	6	M	red purple          	Healthy
Mikey     	6	M	red purple          	Healthy
Yasmeen   	6	F	candy pink          	Healthy
Giffie    	6	M	candy pink          	Healthy
Maximilien	6	M	candy pink          	Healthy
Chere     	6	F	red purple          	Healthy
Harri     	6	F	red purple          	Healthy
Farris    	6	M	candy pink          	Healthy
Philippine	6	F	candy pink          	Radioactive
Rae       	6	F	candy pink          	Healthy
Dasya     	6	F	red purple          	Healthy
Genovera  	6	F	candy pink          	Healthy
Kerwinn   	6	M	candy pink          	Healthy
Jeniece   	6	F	candy pink          	Healthy
Brittni   	6	F	candy pink          	Healthy
Alison    	6	F	candy pink          	Healthy
Glory     	6	F	candy pink          	Healthy
Lyndy     	6	F	candy pink          	Healthy
Hartley   	5	M	candy pink          	Healthy
Dickie    	5	M	red purple          	Healthy
Patty     	5	M	red purple          	Healthy
Gilemette 	5	F	candy pink          	Healthy
Orren     	5	M	candy pink          	Healthy
Livvie    	5	F	candy pink          	Healthy
Brooks    	5	F	candy pink          	Healthy
Meridel   	5	F	red purple          	Healthy
Tallia    	5	F	red purple          	Healthy
Megan     	5	F	red purple          	Healthy
Esme      	5	M	red purple          	Healthy
Hillery   	5	M	candy pink          	Healthy
Francklin 	5	M	candy pink          	Healthy
Kimberlyn 	5	F	red purple          	Healthy
Ingar     	5	M	candy pink          	Healthy
Tanner    	5	M	red purple          	Healthy
Ardella   	5	F	candy pink          	Radioactive
Marcus    	5	M	red purple          	Healthy
Jodi      	5	F	candy pink          	Healthy
Kat       	5	F	candy pink          	Healthy
Dougie    	5	M	candy pink          	Healthy
Brand     	5	M	red purple          	Healthy
Aurlie    	5	F	red purple          	Healthy
Sybilla   	5	F	candy pink          	Healthy
Neille    	5	F	red purple          	Healthy
Dom       	5	M	candy pink          	Healthy
Elonore   	5	F	red purple          	Radioactive
Rona      	5	F	red purple          	Healthy
Lyndsay   	5	F	red purple          	Healthy
Ricki     	5	M	candy pink          	Healthy
Lin       	5	M	candy pink          	Healthy
Doris     	5	F	red purple          	Healthy
Demetra   	5	F	red purple          	Healthy
Linnell   	5	F	red purple          	Healthy
Karissa   	5	F	candy pink          	Healthy
