
Ramsey    	1	M	muted purple        	Healthy
Thom      	3	M	brownish orange     	Radioactive
Mitchael  	3	M	canary yellow       	Radioactive
Reinaldo  	3	M	brownish orange     	Radioactive
Mercedes  	3	F	canary yellow       	Healthy
Karlis    	3	M	hot green           	Radioactive
Levey     	3	M	brownish orange     	Radioactive
Leon      	3	M	brownish orange     	Radioactive
Alissa    	3	F	iris                	Radioactive
Jolie     	2	F	canary yellow       	Radioactive
Umberto   	2	M	hot green           	Radioactive
Hildegaard	2	F	iris                	Radioactive
Dorian    	2	M	canary yellow       	Healthy
Celestyn  	2	F	hot green           	Radioactive
Yuri      	2	M	iris                	Radioactive
Sharleen  	2	F	iris                	Radioactive
Jesse     	2	F	hot green           	Healthy
Adriana   	2	F	iris                	Radioactive
Spencer   	2	M	hot green           	Radioactive
Kirstyn   	2	F	brownish orange     	Radioactive
Gaston    	2	M	iris                	Radioactive
Gunther   	2	M	hot green           	Radioactive
Jo        	2	M	canary yellow       	Healthy
Rocky     	2	M	brownish orange     	Radioactive
Ignacius  	2	M	canary yellow       	Radioactive
Terri     	2	M	brownish orange     	Healthy
Lindie    	2	F	canary yellow       	Healthy
Ajay      	2	F	hot green           	Healthy
Ron       	2	M	iris                	Radioactive
Erma      	2	F	canary yellow       	Healthy
Max       	2	M	hot green           	Healthy
Elton     	2	M	hot green           	Radioactive
Sandy     	2	M	iris                	Healthy
Remington 	2	M	brownish orange     	Radioactive
Collin    	2	M	brownish orange     	Radioactive
Karoly    	2	M	brownish orange     	Radioactive
Koral     	2	F	hot green           	Radioactive
Belia     	2	F	canary yellow       	Healthy
Gustavus  	2	M	brownish orange     	Radioactive
Cornie    	2	M	canary yellow       	Radioactive
Tito      	2	M	hot green           	Radioactive
Christin  	2	F	brownish orange     	Radioactive
Lion      	2	M	brownish orange     	Radioactive
Roxine    	2	F	canary yellow       	Healthy
Raina     	2	F	iris                	Healthy
Chrystal  	2	F	hot green           	Radioactive
Mickie    	2	F	hot green           	Radioactive
Aland     	2	M	iris                	Healthy
Dalton    	2	M	brownish orange     	Healthy
Lynnett   	2	F	hot green           	Healthy
Arlene    	2	F	brownish orange     	Radioactive
Lilith    	2	F	canary yellow       	Healthy
Eb        	2	M	canary yellow       	Healthy
Joey      	2	F	hot green           	Radioactive
Lin       	2	M	brownish orange     	Radioactive
Maddalena 	2	F	iris                	Radioactive
Delia     	2	F	brownish orange     	Radioactive
Mattie    	2	F	canary yellow       	Radioactive
Zebulen   	2	M	canary yellow       	Healthy
Reagan    	2	M	iris                	Healthy
Annalise  	2	F	canary yellow       	Healthy
Alanna    	2	F	hot green           	Radioactive
Colby     	2	M	canary yellow       	Healthy
Eimile    	2	F	hot green           	Radioactive
Isidoro   	2	M	hot green           	Healthy
Fara      	2	F	hot green           	Healthy
Kelsy     	2	F	brownish orange     	Radioactive
Raffarty  	2	M	brownish orange     	Radioactive
Nicola    	2	F	canary yellow       	Healthy
Andree    	2	F	canary yellow       	Healthy
Guilbert  	2	M	hot green           	Radioactive
Randie    	1	M	canary yellow       	Healthy
Caria     	1	F	canary yellow       	Healthy
Corty     	1	M	hot green           	Healthy
Ileane    	1	F	canary yellow       	Healthy
Sapphira  	1	F	iris                	Radioactive
Ernest    	1	M	iris                	Radioactive
Leoine    	1	F	hot green           	Radioactive
Stacie    	1	F	canary yellow       	Healthy
Berty     	1	M	brownish orange     	Radioactive
Rupert    	1	M	canary yellow       	Healthy
Colet     	1	M	brownish orange     	Radioactive
Gretta    	1	F	canary yellow       	Radioactive
Gwenore   	1	F	hot green           	Healthy
Aidan     	1	F	iris                	Radioactive
Graeme    	1	M	hot green           	Healthy
Ronald    	1	M	hot green           	Healthy
Greta     	1	F	iris                	Healthy
Genna     	1	F	brownish orange     	Radioactive
Lisetta   	1	F	brownish orange     	Radioactive
Kellie    	1	F	brownish orange     	Radioactive
Tamma     	1	F	iris                	Healthy
Gwennie   	1	F	canary yellow       	Healthy
Annecorinne	1	F	canary yellow       	Healthy
Marie     	1	F	hot green           	Radioactive
Paolo     	1	M	brownish orange     	Radioactive
Myrwyn    	1	M	canary yellow       	Radioactive
Alberto   	1	M	iris                	Healthy
Rozelle   	1	F	canary yellow       	Healthy
Gracia    	1	F	hot green           	Healthy
Taryn     	1	F	hot green           	Healthy
Lishe     	1	F	iris                	Radioactive
Ollie     	1	M	brownish orange     	Radioactive
Eilis     	1	F	hot green           	Healthy
Grete     	1	F	hot green           	Radioactive
Daffy     	1	F	canary yellow       	Healthy
Cosmo     	1	M	canary yellow       	Healthy
Minda     	1	F	hot green           	Healthy
Chaunce   	1	M	brownish orange     	Radioactive
Reinwald  	1	M	iris                	Radioactive
Maris     	1	F	canary yellow       	Healthy
Billy     	1	M	iris                	Healthy
Moe       	1	M	canary yellow       	Healthy
Kirk      	1	M	canary yellow       	Healthy
Pascale   	1	M	hot green           	Healthy
Alexandra 	1	F	hot green           	Radioactive
Lorianne  	1	F	hot green           	Healthy
Kaleb     	1	M	brownish orange     	Radioactive
Tristan   	1	M	canary yellow       	Healthy
Reinaldos 	1	M	canary yellow       	Healthy
Mildrid   	1	F	hot green           	Healthy
Merill    	1	M	iris                	Radioactive
Efrem     	1	M	hot green           	Healthy
Lesley    	1	M	canary yellow       	Radioactive
Archaimbaud	1	M	hot green           	Radioactive
Howard    	1	M	canary yellow       	Healthy
Constantia	1	F	hot green           	Healthy
Bucky     	1	M	canary yellow       	Healthy
Melinde   	1	F	hot green           	Healthy
Elvin     	1	M	hot green           	Healthy
Dolores   	1	F	canary yellow       	Healthy
Arny      	1	M	iris                	Radioactive
Kiah      	0	F	hot green           	Healthy
Grethel   	0	F	iris                	Radioactive
Tally     	0	M	canary yellow       	Radioactive
Hailee    	0	F	canary yellow       	Healthy
Dylan     	0	M	brownish orange     	Radioactive
Cristine  	0	F	hot green           	Healthy
Maddy     	0	F	hot green           	Healthy
Sallee    	0	F	hot green           	Radioactive
Caye      	0	F	iris                	Healthy
Giuseppe  	0	M	canary yellow       	Healthy
Clotilda  	0	F	canary yellow       	Healthy
Nollie    	0	M	hot green           	Healthy
Parke     	0	M	iris                	Radioactive
Rayna     	0	F	canary yellow       	Healthy
Kalil     	0	M	hot green           	Healthy
Melva     	0	F	iris                	Healthy
Katharine 	0	F	hot green           	Healthy
Padgett   	0	M	canary yellow       	Healthy
Bancroft  	0	M	canary yellow       	Healthy
Benedicto 	0	M	canary yellow       	Healthy
Aubrette  	0	F	canary yellow       	Radioactive
Chaunce   	0	M	hot green           	Healthy
Odette    	0	F	hot green           	Radioactive
Debee     	0	F	brownish orange     	Healthy
Tull      	0	M	canary yellow       	Healthy
Nick      	0	M	canary yellow       	Healthy
Dianemarie	0	F	hot green           	Healthy
Peg       	0	F	hot green           	Healthy
Bab       	0	F	canary yellow       	Healthy
Dulsea    	0	F	hot green           	Healthy
Korry     	0	F	canary yellow       	Healthy
Hartwell  	0	M	hot green           	Radioactive
Constanta 	0	F	iris                	Healthy
Birch     	0	M	hot green           	Healthy
Bernardine	0	F	hot green           	Healthy
Judon     	0	M	hot green           	Healthy
Englebert 	0	M	canary yellow       	Healthy
Desiri    	0	F	hot green           	Healthy
Corry     	0	F	canary yellow       	Healthy
Horatio   	0	M	hot green           	Healthy
Emmet     	0	M	canary yellow       	Healthy
Tamara    	0	F	canary yellow       	Healthy
------------------------------------------------------------------------
Denise    	10	F	iris                	Radioactive
Quintana  	10	F	brownish orange     	Radioactive
Pepito    	10	M	canary yellow       	Radioactive
Oralee    	10	F	hot green           	Healthy
Barbara-Anne	10	F	iris                	Radioactive
Dina      	10	F	hot green           	Radioactive
Eustacia  	10	F	iris                	Radioactive
Jilly     	10	F	brownish orange     	Radioactive
Carolee   	10	F	canary yellow       	Radioactive
Haskell   	10	M	canary yellow       	Healthy
Scottie   	10	M	hot green           	Radioactive
Sydel     	10	F	iris                	Radioactive
Ninetta   	10	F	brownish orange     	Radioactive
Vivian    	10	F	iris                	Radioactive
Rowan     	10	M	canary yellow       	Healthy
Faina     	10	F	hot green           	Radioactive
Consuelo  	10	F	iris                	Radioactive
Janine    	10	F	brownish orange     	Radioactive
Lorne     	9	M	iris                	Radioactive
Willi     	9	F	brownish orange     	Radioactive
Inger     	9	M	canary yellow       	Healthy
Alexis    	9	M	hot green           	Radioactive
Dwain     	9	M	iris                	Radioactive
Zebulon   	9	M	hot green           	Radioactive
Janeen    	9	F	iris                	Radioactive
Anton     	9	M	brownish orange     	Radioactive
Vassily   	9	M	canary yellow       	Healthy
Delano    	9	M	canary yellow       	Healthy
Brendon   	9	M	hot green           	Healthy
Justin    	9	M	iris                	Radioactive
Sophia    	9	F	brownish orange     	Radioactive
Earvin    	9	M	iris                	Radioactive
Jinny     	9	F	canary yellow       	Healthy
Ugo       	9	M	hot green           	Radioactive
Cloe      	9	F	iris                	Radioactive
Lief      	9	M	brownish orange     	Radioactive
Judon     	9	M	iris                	Radioactive
Manon     	9	F	brownish orange     	Radioactive
Darrin    	9	M	brownish orange     	Radioactive
Erinn     	9	F	canary yellow       	Radioactive
Betti     	9	F	brownish orange     	Radioactive
Lilla     	8	F	iris                	Radioactive
Timmi     	8	F	brownish orange     	Radioactive
Lilah     	8	F	canary yellow       	Radioactive
Nevsa     	8	F	hot green           	Healthy
Brunhilda 	8	F	iris                	Radioactive
Nichols   	8	M	hot green           	Radioactive
Spencer   	8	M	iris                	Radioactive
Angie     	8	M	brownish orange     	Radioactive
Alanna    	8	F	canary yellow       	Radioactive
Riccardo  	8	M	canary yellow       	Healthy
Elset     	8	F	hot green           	Healthy
Elisha    	8	F	iris                	Radioactive
Yuma      	8	M	brownish orange     	Radioactive
Barri     	8	M	iris                	Radioactive
Johnathon 	8	M	canary yellow       	Healthy
Cynthie   	8	F	hot green           	Radioactive
Franciska 	8	F	iris                	Radioactive
Giacopo   	8	M	brownish orange     	Radioactive
Franni    	8	F	iris                	Radioactive
Annamaria 	8	F	brownish orange     	Radioactive
Chiquita  	8	F	brownish orange     	Radioactive
Gerri     	8	M	canary yellow       	Healthy
Elnora    	8	F	brownish orange     	Radioactive
Griffie   	8	M	iris                	Radioactive
Umberto   	8	M	brownish orange     	Radioactive
Sandro    	8	M	hot green           	Healthy
Leonore   	8	F	iris                	Radioactive
Gerianne  	8	F	hot green           	Radioactive
Ester     	8	F	iris                	Radioactive
Irvin     	8	M	brownish orange     	Radioactive
Sada      	8	F	canary yellow       	Healthy
Dilan     	8	M	iris                	Radioactive
Corrianne 	8	F	brownish orange     	Radioactive
Bealle    	8	M	iris                	Radioactive
Efrem     	8	M	hot green           	Radioactive
Jillene   	8	F	iris                	Radioactive
Thelma    	8	F	brownish orange     	Radioactive
Shadow    	7	M	iris                	Radioactive
Pennie    	7	M	hot green           	Radioactive
Dierdre   	7	F	iris                	Radioactive
Evered    	7	M	brownish orange     	Radioactive
Tanner    	7	M	canary yellow       	Radioactive
Joelle    	7	F	canary yellow       	Healthy
Sigrid    	7	F	hot green           	Radioactive
Kori      	7	F	iris                	Radioactive
Siegfried 	7	M	brownish orange     	Radioactive
Anabella  	7	F	iris                	Radioactive
Shae      	7	M	canary yellow       	Healthy
Edgardo   	7	M	hot green           	Radioactive
Myrah     	7	F	brownish orange     	Radioactive
Leonie    	7	F	iris                	Radioactive
Mufi      	7	F	brownish orange     	Radioactive
Leora     	7	F	brownish orange     	Radioactive
Tonya     	7	F	canary yellow       	Radioactive
Em        	7	M	brownish orange     	Radioactive
Frants    	7	M	iris                	Radioactive
Krissie   	7	F	brownish orange     	Radioactive
Hymie     	7	M	hot green           	Radioactive
Leesa     	7	F	iris                	Radioactive
Giff      	7	M	hot green           	Radioactive
Oswell    	7	M	iris                	Radioactive
Curran    	7	M	brownish orange     	Radioactive
Radcliffe 	7	M	canary yellow       	Radioactive
Kristian  	7	M	iris                	Radioactive
Kiel      	7	M	brownish orange     	Radioactive
Nye       	7	M	hot green           	Radioactive
Hester    	7	F	brownish orange     	Radioactive
Christabella	7	F	brownish orange     	Radioactive
Jacquenetta	7	F	iris                	Radioactive
Chevy     	7	M	brownish orange     	Radioactive
Delmore   	7	M	canary yellow       	Healthy
Danella   	7	F	iris                	Radioactive
Jeno      	7	M	brownish orange     	Radioactive
Violante  	7	F	canary yellow       	Radioactive
Archie    	7	M	brownish orange     	Radioactive
Verene    	6	F	iris                	Radioactive
Caz       	6	M	hot green           	Radioactive
Feliks    	6	M	iris                	Radioactive
Henrie    	6	F	brownish orange     	Radioactive
Celestina 	6	F	canary yellow       	Radioactive
Delmar    	6	M	canary yellow       	Healthy
Roslyn    	6	F	hot green           	Healthy
Arman     	6	M	iris                	Radioactive
Nikolaos  	6	M	brownish orange     	Radioactive
Ludvig    	6	M	iris                	Radioactive
Noby      	6	M	canary yellow       	Radioactive
Angelita  	6	F	hot green           	Radioactive
Jessee    	6	M	iris                	Radioactive
Danette   	6	F	iris                	Radioactive
Eolande   	6	F	brownish orange     	Radioactive
Sherrie   	6	F	brownish orange     	Radioactive
Patty     	6	M	canary yellow       	Radioactive
Vanessa   	6	F	brownish orange     	Radioactive
Merrie    	6	F	iris                	Radioactive
Kari      	6	F	brownish orange     	Radioactive
Julieta   	6	F	hot green           	Healthy
Sheff     	6	M	iris                	Radioactive
Rosmunda  	6	F	hot green           	Radioactive
